Country,Region,Tax_Type,Income_Bracket_Lower,Income_Bracket_Upper,Rate_Percent,Notes,Source,Source_URLs,Last_Verified,Estimation_Flag
DE,,Income Tax,0,12096,0,"Zone 1 (Grundfreibetrag): No tax on income up to 12096 EUR. This is the tax-free basic allowance under section 32a(1) Nr.1 EStG 2025. Increased from 11784 EUR (original 2025 figure under Inflationsausgleichsgesetz) to 12096 EUR via the Steuerfortentwicklungsgesetz (enacted December 2024), which raised the Grundfreibetrag retroactively for 2025 to cover the increased subsistence minimum (Existenzminimum). Applies to Einzelveranlagung (single filing); for Zusammenveranlagung (joint filing / Splitting), double the threshold applies.","BMF; section 32a(1) Nr.1 EStG 2025; Steuerfortentwicklungsgesetz (BGBl. 2024 I Nr. 449)",https://www.bundesfinanzministerium.de/; https://www.gesetze-im-internet.de/estg/__32a.html; https://www.bgbl.de/xaver/bgbl/start.xav?startbk=Bundesanzeiger_BGBl,2026-02-22,N
DE,,Income Tax,12097,17005,14,"Zone 2 (Progressionszone I): Entry rate is 14%. IMPORTANT: This is a formula-based progressive zone — the 14% is the ENTRY marginal rate, not a flat rate. Actual tax is calculated using the formula: (922.98 x y + 1400) x y, where y = (zvE - 12096) / 10000. The marginal rate rises continuously from 14% at 12097 EUR to approximately 24% at 17005 EUR. The tool must implement the polynomial formula for accurate calculation. Formula constants for 2025 (per Steuerfortentwicklungsgesetz): a=922.98, b=1400. Note: the Zone 2 upper boundary (17005 EUR) and formula coefficients remain the same as the original 2025 EStG — only the Grundfreibetrag (Zone 1/Zone 2 boundary) was raised.","BMF; section 32a(1) Nr.2 EStG 2025; Steuerfortentwicklungsgesetz (BGBl. 2024 I Nr. 449); Programmablaufplan 2025",https://www.bundesfinanzministerium.de/; https://www.gesetze-im-internet.de/estg/__32a.html; https://www.bgbl.de/xaver/bgbl/start.xav?startbk=Bundesanzeiger_BGBl,2026-02-22,N
DE,,Income Tax,17006,66760,24,"Zone 3 (Progressionszone II): Entry rate is approximately 24%. IMPORTANT: This is a formula-based progressive zone — the rate shown is the ENTRY marginal rate. Actual tax is calculated using: (181.19 x z + 2397) x z + 1025.38, where z = (zvE - 17005) / 10000. The marginal rate rises from ~24% at 17006 EUR to 42% at 66760 EUR. Formula constants for 2025: c=181.19, d=2397, e=1025.38. Tax at zone entry = cumulative tax from Zone 2.","BMF; section 32a(1) Nr.3 EStG 2025; Programmablaufplan 2025",https://www.bundesfinanzministerium.de/; https://www.gesetze-im-internet.de/estg/__32a.html,2026-02-18,N
DE,,Income Tax,66761,277825,42,"Zone 4 (Proportionalzone I): Flat 42% marginal rate. Tax = 0.42 x zvE - 10602.13. This is the first flat-rate zone. The upper boundary of 277825 EUR is the threshold for the Reichensteuer (wealth tax surcharge rate). Unchanged from 2024.","BMF; section 32a(1) Nr.4 EStG 2025",https://www.bundesfinanzministerium.de/; https://www.gesetze-im-internet.de/estg/__32a.html,2026-02-18,N
DE,,Income Tax,277826,9999999,45,"Zone 5 (Proportionalzone II / Reichensteuer): Flat 45% top marginal rate on all income above 277825 EUR. Tax = 0.45 x zvE - 18936.88. The 277825 EUR threshold has been unchanged since 2023. The 45% rate was introduced in 2007 and has remained constant.","BMF; section 32a(1) Nr.5 EStG 2025",https://www.bundesfinanzministerium.de/; https://www.gesetze-im-internet.de/estg/__32a.html,2026-02-18,N
DE,,Solidarity Surcharge,0,18130,0,"Soli Freigrenze: No solidarity surcharge when the income TAX liability (not gross income) is at or below 18130 EUR. CRITICAL: These brackets represent income TAX amounts (Einkommensteuer), NOT gross income. The Freigrenze was raised from 17543 EUR (2024) to 18130 EUR (2025) as part of the annual adjustment. For joint filers (Zusammenveranlagung), the Freigrenze is doubled to 36260 EUR.","BMF; section 4 SolZG 2025; Solidaritaetszuschlaggesetz",https://www.bundesfinanzministerium.de/; https://www.gesetze-im-internet.de/solzg_1995/,2026-02-18,N
DE,,Solidarity Surcharge,18131,31000,5.5,"Soli Gleitzone (phase-in zone): CRITICAL: Brackets are income TAX amounts, not gross income. In this gliding zone, the Soli is capped at 11.9% of the tax amount exceeding the Freigrenze (18130 EUR). Formula: Soli = min(5.5% x tax, 11.9% x (tax - 18130)). This prevents a cliff effect at the Freigrenze. The phase-in zone extends until the 11.9% cap equals 5.5% of the full tax amount, which occurs at approximately 31000 EUR tax liability. The exact crossover depends on precise calculation.","BMF; section 4 SolZG 2025; Solidaritaetszuschlaggesetz",https://www.bundesfinanzministerium.de/; https://www.gesetze-im-internet.de/solzg_1995/,2026-02-18,Y
DE,,Solidarity Surcharge,31001,9999999,5.5,"Full Solidarity Surcharge: 5.5% of income tax liability. CRITICAL: Brackets are income TAX amounts, not gross income. Applies in full (without phase-in cap) when income tax exceeds approximately 31000 EUR. Since 2021, approximately 90% of taxpayers pay no Soli due to the raised Freigrenze. The Soli was largely abolished for most taxpayers by the Gesetz zur Rueckfuehrung des Solidaritaetszuschlags (2019).","BMF; section 3-4 SolZG 2025; Solidaritaetszuschlaggesetz",https://www.bundesfinanzministerium.de/; https://www.gesetze-im-internet.de/solzg_1995/,2026-02-18,N
DE,,Health Insurance,0,66150,8.55,"Gesetzliche Krankenversicherung (GKV) employee share: 7.30% general contribution rate (allgemeiner Beitragssatz) + 1.25% average Zusatzbeitrag employee share = 8.55% total employee share. The total contribution is 14.6% general + 2.5% average Zusatzbeitrag = 17.1%, split equally between employer and employee. BBG (Beitragsbemessungsgrenze) for health insurance 2025: 66150 EUR/year (5512.50 EUR/month). The average Zusatzbeitrag for 2025 was set at 2.5% (up from 1.7% in 2024) per the GKV-Schaetzerkreis October 2024 recommendation. Actual Zusatzbeitrag varies by insurer (Krankenkasse). Maximum annual employee health insurance contribution: 66150 x 8.55% = 5655.83 EUR.","BMAS Sozialversicherungsrechengroessen 2025; GKV-Spitzenverband; section 241 SGB V (14.6% general rate); section 242 SGB V (Zusatzbeitrag)",https://www.bmas.de/DE/Soziales/Sozialversicherung/Sozialversicherungsrechengroessen/sozialversicherungsrechengroessen.html; https://www.gkv-spitzenverband.de/; https://www.gesetze-im-internet.de/sgb_5/__241.html; https://www.gesetze-im-internet.de/sgb_5/__242.html,2026-02-18,Y
DE,,Pension Insurance,0,96600,9.3,"Gesetzliche Rentenversicherung (GRV) employee share: 9.3% (total rate 18.6%, split equally employer/employee). BBG (Beitragsbemessungsgrenze) for pension insurance 2025 West: 96600 EUR/year (8050 EUR/month). From 2025, the BBG is unified across Germany (the separate East German BBG was abolished as West and East converged under the Rentenueberleitung). No contributions on income above the BBG. Maximum annual employee pension contribution: 96600 x 9.3% = 8983.80 EUR. The 18.6% total rate has been stable since 2018.","BMAS Sozialversicherungsrechengroessen 2025; Deutsche Rentenversicherung; section 158 SGB VI",https://www.bmas.de/DE/Soziales/Sozialversicherung/Sozialversicherungsrechengroessen/sozialversicherungsrechengroessen.html; https://www.deutsche-rentenversicherung.de/; https://www.gesetze-im-internet.de/sgb_6/__158.html,2026-02-18,N
DE,,Unemployment Insurance,0,96600,1.3,"Arbeitslosenversicherung employee share: 1.3% (total rate 2.6%, split equally employer/employee). BBG is the same as for pension insurance: 96600 EUR/year (8050 EUR/month). Maximum annual employee unemployment contribution: 96600 x 1.3% = 1255.80 EUR. The 2.6% total rate has been in effect since 2023 (raised from 2.4% which was a temporary pandemic-era reduction).","BMAS Sozialversicherungsrechengroessen 2025; Bundesagentur fuer Arbeit; section 341 SGB III",https://www.bmas.de/DE/Soziales/Sozialversicherung/Sozialversicherungsrechengroessen/sozialversicherungsrechengroessen.html; https://www.arbeitsagentur.de/; https://www.gesetze-im-internet.de/sgb_3/__341.html,2026-02-18,N
DE,,Long-term Care Insurance,0,66150,2.3,"Soziale Pflegeversicherung employee share for childless persons over 23: 1.7% base rate + 0.6% Kinderlosenzuschlag (childless surcharge) = 2.3%. The total base rate is 3.4% (employer 1.7%, employee 1.7%) per the Pflegeunterstuetzungs- und -entlastungsgesetz (PUEG). For parents, the employee rate is reduced by 0.25% per child (from 2nd to 5th child, until each child reaches age 25). BBG same as health insurance: 66150 EUR/year (5512.50 EUR/month). The Kinderlosenzuschlag of 0.6% applies to childless employees aged 23+ (raised from 0.35% to 0.6% in July 2023). Maximum annual employee care contribution (childless): 66150 x 2.3% = 1521.45 EUR.","BMAS; section 55 SGB XI; Pflegeunterstuetzungs- und -entlastungsgesetz (PUEG) 2023",https://www.bmas.de/DE/Soziales/Sozialversicherung/Sozialversicherungsrechengroessen/sozialversicherungsrechengroessen.html; https://www.gesetze-im-internet.de/sgb_11/__55.html,2026-02-18,N
DE,,Church Tax,0,9999999,0,"EXCLUDED FROM CALCULATIONS. Church tax (Kirchensteuer) is NOT included in automatic salary calculations because it is optional — it applies only to registered members of a tax-collecting religious community (primarily Catholic and Protestant churches). Rate: 8% of income tax in Bavaria and Baden-Wuerttemberg; 9% of income tax in all other German states. Church tax is deductible as a Sonderausgabe (special expense) on the following year's tax return. Approximately 50% of the German population pays church tax. Church membership can be formally terminated (Kirchenaustritt) at the local civil registry office (Amtsgericht/Standesamt).","Kirchensteuergesetze der Laender; BMF",N/A,2026-02-18,N
